Post ID,Title,Publish time,Post type,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks
669778785184892,#VirginiaEnergy is #hiring a GIS Specialist (Scientist II)! Be sure to apply by September 4th here: https://ow.ly/Xvo250PBFer,8/24/2023,Photos,546,512,8,5,0,3,8,5,,3
833263785185821,Project Thoroughbred AMLER check presentation.,8/23/2023,Live,462,401,17,15,1,1,66,,66,
669351535227617,"#VirginiaEnergy and Congressman Morgan Griffith  presented a check to the Wise County Economic & Industrial Development for $1.7 million for the Elam Farm Industrial Site development. This grant is made possible by the Abandoned Mine Land Economic Revitalization program which is administered by the Office of Surface Mining Reclamation and Enforcement. Learn more here: https://ow.ly/cSeN50PCAm0

(Pictured L to R: Virginia Energy Manager of Economic Development Daniel Kestner, Wise County IDA Executive Director Brian Falin, Chairman of Wise County IDA Board Cliff Caron, Virginia Energy Abandoned Mine Land Program Director Lesa Baker, U.S. Representative Morgan Griffith, Virginia Energy Director of Coal Programs Randy Moore and Virginia Energy Abandoned Mine Land Economic Revitalization Senior Projects Manager Tim Ferguson)",8/23/2023,Photos,344,305,17,13,2,2,17,10,7,
694255155854276,Elam Farm Industrial Park $1.7 million AMLER check presentation.,8/23/2023,Live,278,250,8,7,0,1,18,,18,
669282531901184,#VirginiaEnergy is accepting public comment today in person on future Abandoned Mine Land projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/23/2023,Photos,219,195,2,2,0,0,0,,,
669227891906648,Celebrating #WildlifeWednesday with a spotlight on a barn swallow! #Didyouknow barn swallows can cover 600 miles in a day during migration?  They prefer to spend their winters in Central and South America. #Virginiaenergy,8/23/2023,Photos,524,492,6,4,0,2,2,,2,
668903685272402,Join #VirginiaEnergy and Congressman Morgan Griffith as we present the check to the Lonesome Pine Regional Industrial Facilities Authority for $2.5 million for the development of Project Thoroughbred. This grant is made possible by the Abandoned Mine Land Economic Revitalization program which is administered by the Office of Surface Mining Reclamation and Enforcement. Appalachian Grains Invest SWVA,8/22/2023,Photos,186,170,1,1,0,0,0,,,
668886855274085,#VirginiaEnergy is #hiring a GIS Specialist (Scientist I)! Be sure to apply by September 4th here: https://ow.ly/EfCU50PBERv,8/22/2023,Photos,1651,1524,34,25,0,9,38,10,9,19
668870488609055,Check out these great #MineRescue teams at the First Annual Overmountain Mine Rescue Meet. Visit our Youtube: ,8/22/2023,Links,208,183,7,5,0,2,7,,2,5
668852708610833,Join #VirginiaEnergy andCongressman Morgan Griffith as we present the check to the Wise County Economic & Industrial Development for $1.7 million for the Elam Farm Industrial Site development. This grant is made possible by the Abandoned Mine Land Economic Revitalization program which is administered by the Office of Surface Mining Reclamation and Enforcement.,8/22/2023,Photos,222,205,3,2,1,0,1,,1,
668783291951108,"🎶 It's feeling like a Heatwave.🎶 We all love the summer weather, but safety comes first! Follow these tips to look out for Heat Stress. #VirginiaEnergy",8/22/2023,Photos,209,193,5,4,0,1,2,1,1,
229120276360275,Project Thoroughbred Check Presentation,8/22/2023,Text,,,,,,,,,,
816173303482864,Elam Farm Check Presentation,8/22/2023,Text,,,,,,,,,,
668364858659618,"It’s #MappingMonday! Let's look at a #geology #map of the Elkton West area, #Virginia. This map shows accumulations of loose material that have covered the bedrock. Check it out and download for free here: https://tinyurl.com/ElktonW",8/21/2023,Photos,802,747,14,11,0,3,11,6,2,3
668347995327971,#VirginiaEnergy is accepting public comment in person on future Abandoned Mine Land projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/21/2023,Photos,235,216,2,1,0,1,1,,1,
668248165337954,"If you find a pink and green rock in your backyard, it might be #unakite. This metamorphic rock is often found as cobbles in streams flowing from the Blue Ridge Mountains. Learn more here: https://ow.ly/gSka50PBvrF",8/21/2023,Photos,4420,4135,137,107,21,9,204,28,157,19
668199862009451,TreeCutting_MineSafetyMinutes.mp4,8/21/2023,Videos,215,184,3,2,0,1,0,,,
667727192056718,#VirginiaEnergy is accepting public comment in person on future Abandoned Mine Land projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/20/2023,Photos,228,206,2,1,0,1,2,1,,1
667015312127906,"This week, our #SaturdaySpotlight is on Machelle Meade, a Procurement Officer at #VirginiaEnergy! Machelle is responsible for negotiating and establishing contracts to obtain the goods and services needed by #VirginiaEnergy. Outside of work, Machelle enjoys riding his motorcycle, playing golf and reading.",8/19/2023,Photos,732,665,26,24,2,0,29,8,21,
666963425466428,"Celebrate #WorldHoneyBeeDay by learning a fun fact about these important pollinators 🐝! #DidYouKnow that a single #honeybee can visit up to 1,500 flowers in a single day and can travel up to five miles from the hive! #VirginiaEnergy",8/19/2023,Photos,699,665,11,10,0,1,4,2,2,
666630978833006,Government and energy industry leaders are exploring small modular reactors to meet growing energy needs. These reactors offer increased flexibility and require less land but still produce enough power. Learn more here: https://ow.ly/pji450PB0eI #VirginiaEnergy,8/18/2023,Photos,195,178,1,0,1,0,1,,1,
666572478838856,#VirginiaEnergy is set to receive $11 million to make sure your lights stay on. Learn more about this grant opportunity strengthening the grid and finding new opportunities for innovative energy resources. Learn more here: https://ow.ly/5EHP50PASMl,8/18/2023,Photos,187,169,2,2,0,0,0,,,
666515298844574,📣Attention mine operators and contractors📣 #VirginiaEnergy is hosting a free mine safety and health law seminar focusing on MSHA and Virginia state laws governing the mineral mining industry. Register now here: https://ow.ly/VeWC50Ps7PF,8/18/2023,Photos,163,145,3,3,0,0,0,,,
666467315516039,"Jenny Meng, a #VirginiaEnergy geologist, uses a gamma ray spectrometer to measure an outcrop of metamorphic rock in Charlottesville, VA. This device measures the concentration of the trace radioactive elements Uranium, Thorium and Potassium present in the rocks. #FieldworkFriday",8/18/2023,Photos,879,838,16,14,0,2,8,2,6,
666121372217300,Check out this informative video from the U.S. Department of Energy about #nuclear energy: https://ow.ly/7ps550PAoR2 #VirginiaEnergy,8/17/2023,Links,162,143,2,2,0,0,1,,1,
666106218885482,For more information: https://townhall.virginia.gov/l/ViewMeeting.cfm?MeetingID=38468 #PublicNotice #VirginiaEnergy,8/17/2023,Photos,248,224,1,1,0,0,0,,,
666039505558820,"#ThrowbackThursday to when these gobblers were spotted by a #VirginiaEnergy inspector checking on an #abandonedmineland project in Pocahontas. #Didyouknow an adult turkey can have up to 6,000 feathers?",8/17/2023,Photos,457,430,2,2,0,0,2,2,,
665978362231601,#VirginiaEnergy is #hiring a Compliance/Assistance Specialist! Be sure to apply by August 29th here: https://ow.ly/XA8v50PzymH,8/17/2023,Photos,278,250,0,0,0,0,10,2,,8
665636322265805,"A common mineral found in Virginia is #pyrite, also known as “fool’s gold”. Many people misidentify it as real gold because of its golden color, however it is harder than gold and is sometimes found as cubic crystals. Learn more: ow.ly/6z3N50GJLAq 
#VirginiaEnergy",8/16/2023,Photos,1256,1178,38,32,1,5,18,2,15,1
665578128938291,Learn more about energy benefits coming through the Inflation Reduction Act. ,8/16/2023,Links,176,161,2,1,0,1,1,,,1
665533088942795,#VirginiaEnergy is #hiring a Mapping and Realty Specialist! Be sure to apply by August 24th here: https://ow.ly/GG0o50PzSQx,8/16/2023,Photos,1276,1212,18,11,1,6,52,8,27,17
665479838948120,Hoppy #WildlifeWednesday 🐸! This week we are featuring a wood frog found in Buchanan County by a #VirginiaEnergy Reclamation Inspector. #Didyouknow that wood frogs are one of the only amphibians that live near the Arctic Circle?,8/16/2023,Photos,863,835,8,8,0,0,6,4,2,
665125582316879,#VirginiaEnergy is accepting public comment in person on future Abandoned Mine Land projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/15/2023,Photos,444,379,5,1,0,4,1,1,,
665109602318477,#VirginiaEnergy congratulates Anthony Reedy for 25 years of mining without a lost time accident. Anthony works at Blue Water Industries’ quarry in Abingdon.,8/15/2023,Photos,1109,1059,21,20,0,1,28,20,8,
665052578990846,"#VirginiaEnergy is proud to co-host and sponsor the Virginia Clean Energy Summit again this year! Join us in Richmond on October 16-17 for an opportunity to learn more from a lineup of experts about the newest developments in clean energy industries. #VaCleanEnergySummit #VACES 

https://www.vacleanenergysummit.org/",8/15/2023,Photos,196,177,4,4,0,0,0,,,
665008098995294,"#Didyouknow that #VirginiaEnergy has an Offshore Wind Program? As demand for wind energy increases, so will opportunities in construction, maintenance, manufacturing and other service-related industries. Learn more here: http://ow.ly/jmJP50KEunM",8/15/2023,Photos,201,182,2,2,0,0,0,,,
664591179036986,"A variety of marine invertebrate, #brachiopods are fossils that once littered the ocean floor.  Fossil brachiopods can be found in the Paleozoic rocks of Virginia’s Valley and Ridge Province. Learn more about #fossils in Virginia: http://ow.ly/5HRC50Knnbh",8/14/2023,Photos,1423,1341,30,22,1,7,11,2,8,1
664574762371961,"It's #MappingMonday! Let's look at a #geology #map of Swift Run quadrangle in Greene, Albemarle and Rockingham counties, #Virginia. This map includes numerous faults in the Valley and Ridge geologic province. Check it out and download for free here: http://ow.ly/YZtM50Kk7BW #VirginiaEnergy",8/14/2023,Photos,1041,969,16,12,0,4,10,9,,1
664556642373773,📣Attention mine operators and contractors📣 #VirginiaEnergy is hosting a free mine safety and health law seminar focusing on MSHA and Virginia state laws governing the mineral mining industry. Register now here: https://ow.ly/VeWC50Ps7PF,8/14/2023,Photos,175,160,1,0,0,1,0,,,
664437972385640,Draft_RoofControl_MineSafetyMinutes.mp4,8/14/2023,Videos,297,269,6,5,0,1,2,,2,
663949645767806,#VirginiaEnergy is accepting public comment in person on future projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/13/2023,Photos,201,180,0,0,0,0,0,,,
663493632480074,"This week’s #SaturdaySpotlight is on Rachael Winall. Rachael is a #VirginiaEnergy mineral mining inspector serving the eastern shore and the Hampton Roads area. She ensures operations are safe and meet environmental requirements while mining. Diagnosed with #autism at age 26, Rachael says this job fits her abilities because of its adaptability to support her needs and ability to practice self-management. She is also a veteran, having served in the Army for 12 years.",8/12/2023,Photos,378,353,11,9,1,1,12,9,3,
663042475858523,📣Attention mine operators and contractors📣 #VirginiaEnergy is hosting a free mine safety and health law seminar focusing on MSHA and Virginia state laws governing the mineral mining industry. Register now here: https://ow.ly/VeWC50Ps7PF,8/11/2023,Photos,218,191,3,1,0,2,1,1,,
663023525860418,Stepping into the weekend like a pair of pros 😎!Ed Cronin(L) and Austin Counts(R) of #VirginiaEnergy's State Energy Office nailed it at the Resilient Virginia Conference in Charlottesville earlier this month. This conference  focused on economic opportunities for community resilience.,8/11/2023,Photos,497,438,7,7,0,0,48,42,6,
662929812536456,#VirginiaEnergy is accepting public comment in person on future projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/bTQR50Pv4gC,8/11/2023,Photos,360,307,5,3,0,2,6,1,3,2
662856425877128,"Michelle Nelson, a #VirginiaEnergy geologist, uses a portable XRF (X-ray fluorescence) analyzer on an outcrop of metamorphic rock in Charlottesville, VA. This device measures the concentration of elements present in the rock to help understand it’s composition. #FieldworkFriday",8/11/2023,Photos,495,451,9,7,0,2,0,,,
662518165910954,#ICYM - Dominion Energy announced its roughly $10 billion Coastal Virginia Offshore Wind project last Friday. This project will consist of 176 turbines that will be located about 27 miles off the coast of Virginia Beach. Learn more about it here: https://ow.ly/thnf50PwZ3e #OffshoreWind #VirginiaEnergy,8/10/2023,Links,208,184,6,3,2,1,0,,,
662500192579418,You still have time to apply! #VirginiaEnergy is #hiring a Home Energy Rebate Programs Manager. Be sure to apply by August 10th here: https://ow.ly/Xyfb50Ph2ph,8/10/2023,Photos,266,239,1,0,0,1,3,1,1,1
662406512588786,A couple of #VirginiaEnergy’s alternative fuel staff got a chance to see the solar butterfly. It’s actually a tiny house that is completely powered by solar energy—including the Tesla that pulls it. Learn more here: https://ow.ly/M5g050PwzJz. Virginia Clean Cities SolarButterfly,8/10/2023,Photos,1596,1547,8,6,2,0,20,8,12,
662389552590482,,8/10/2023,Text,170,154,0,0,0,0,1,,,1
662389455923825,,8/10/2023,Text,198,178,0,0,0,0,2,,,2
662357329260371,"Why are Small Modular Reactors (SMR) important? Not only do SMRs produce electricity 24/7, but they can also complement other clean energy sources such as wind and solar. Learn more here: https://ow.ly/NrFo50PwAsW #VirginiaEnergy",8/10/2023,Photos,5888,3527,430,127,253,50,270,30,203,37
661978862631551,"#Didyouknow whale bone and fern #fossils are just a few of the preserved remains of once living plants and animals you'll find in Virginia? Learn more: http://ow.ly/efKo50KhEXi
#VirginiaEnergy #ThrowbackThursday",8/9/2023,Photos,1008,937,15,12,1,2,20,2,16,2
661939692635468,You still have time to apply! #VirginiaEnergy is #hiring an Energy Efficiency and Financing Programs Manager. Be sure to apply by August 10th here: https://ow.ly/t4TA50Ph13j,8/9/2023,Photos,261,239,2,1,0,1,4,,,4
661818842647553,It's #WildlifeWednesday! This week we are featuring an elk found in Buchanan County. #Didyouknow that elk can live to be over 20 years old? #VirginiaEnergy,8/9/2023,Photos,581,542,2,1,0,1,3,3,,
661454652683972,"#VirginiaEnergy congratulates BWI Abingdon for working 23,434 hours in 2022 without a lost time accident.",8/8/2023,Photos,873,795,17,15,1,1,52,34,18,
661436312685806,#VirginiaEnergy is accepting public comment in person on future projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/4h8250Pv4gE,8/8/2023,Photos,209,191,1,1,0,0,1,,,1
661330352696402,#ICYMI on Friday- A project identifying rare earth elements and critical minerals in waste coal sources is continuing. Learn more here: https://ow.ly/2Kor50PumkQ #VirginiaEnergy Virginia Tech Invest SWVA,8/8/2023,Links,199,179,6,4,1,1,5,,1,4
661277832701654,"Meet Isaac Anderson! He is an Environmental Engineer, and learn why he enjoys working at #VirginiaEnergy.",8/8/2023,Videos,369,328,2,1,0,1,9,,9,
660933382736099,"#VirginiaEnergy is accepting public comment  through October 1, 2023 on future projects that could be completed with funding received from the Bipartisan Infrastructure Law (BIL). Learn more here: https://ow.ly/WyNM50PutxB Office of Surface Mining Reclamation and Enforcement",8/7/2023,Photos,371,342,4,2,0,2,19,7,5,7
660912069404897,📣Attention mine operators and contractors📣 #VirginiaEnergy is hosting a free mine safety and health law seminar focusing on MSHA and Virginia state laws governing the mineral mining industry. Register now here: https://ow.ly/VeWC50Ps7PF,8/7/2023,Photos,196,175,2,1,0,1,3,1,2,
660857816076989,"It’s #MappingMonday! The #geology #map of the Roanoke quadrangle, #Virginia highlights portions of the Valley and Ridge, Blue Ridge and the Piedmont provinces. Download for free here: https://tinyurl.com/roanokegeo",8/7/2023,Photos,1245,1169,24,20,1,3,13,7,3,3
1.0121E+15,Bipartisan Infrastructure Law Funding for AML Projects Public Comment Opportunity,8/7/2023,Text,,,,,,,,,,
1.47941E+15,Bipartisan Infrastructure Law Public Comment Opportunity,8/7/2023,Text,,,,,,,,,,
2.35398E+15,Bipartisan Infrastructure Law Public Comment Opportunity,8/7/2023,Text,,,,,,,,,,
660752306087540,Final_PPE_MineSafetyMinute_2023.mp4,8/7/2023,Videos,269,241,5,4,0,1,1,,1,
660292669466837,"Interested in learning more about #solar? Click here: http://ow.ly/ZBeV50GrD63
#VirginiaEnergy #SolarSunday",8/6/2023,Photos,478,445,0,0,0,0,2,1,1,
659722882857149,"This week's #SaturdaySpotlight is Benny Page. Benny is a Gas and Oil Inspector at #VirginiaEnergy. He inspects gas wells and drilling operations and approves drilling operations permits. In his spare time, Benny enjoys spending time with his kids, hunting, fishing,  woodworking and laser engraving.",8/5/2023,Photos,862,798,20,18,2,0,24,,24,
659291862900251,For more information: https://ow.ly/Qx4R50PsVWz #VirginiaEnergy #PublicNotice,8/4/2023,Photos,224,202,0,0,0,0,0,,,
659272942902143,📣Attention mine operators and contractors📣 #VirginiaEnergy is hosting a free mine safety and health law seminar focusing on MSHA and Virginia state laws governing the mineral mining industry. Register now here: https://ow.ly/BXzZ50Ps7PB,8/4/2023,Photos,193,173,2,1,0,1,1,1,,
659162802913157,"Jenny Meng and Katie Lang, #VirginiaEnergy geologists, use a Brunton compass to measure a metamorphic rock outcrop near the Dabneys, VA mapping area. #FieldworkFriday",8/4/2023,Photos,581,543,9,9,0,0,4,4,,
659073952922042,Coming up today! Join us in-person or virtually (https://virginiatech.zoom.us/s/86884563531) at 1:30 for an announcement about critical mineral and rare earth element production in Virginia. Learn more about Evolve Capp here: https://energy.vt.edu/research/evolve-capp.html #VirginiaEnergy Virginia Tech Invest SWVA,8/4/2023,Photos,554,516,2,1,0,1,6,4,1,1
658746342954803,It's time for a #ThrowbackThursday! Our #VirginiaEnergy team members had a terrific time visiting our Charlottesville office and exploring the historic Afton Tunnel this past April. Leonard Gardener(L) and Josh McCoy(R) welcome Friday with open arms!,8/3/2023,Photos,2967,2656,79,71,5,3,239,184,55,
658726066290164,"Meet Chris Counts, an Abandoned Mine Land Mapper and learn why he likes working at #VirginiaEnergy.",8/3/2023,Videos,436,387,8,6,0,2,10,,10,
658601119635992,For more information: https://townhall.virginia.gov/l/ViewMeeting.cfm?MeetingID=38406 #VirginiaEnergy #PublicNotice,8/3/2023,Photos,230,210,0,0,0,0,0,,,
658546019641502,"#Gneiss is a very common metamorphic rock found in the Blue Ridge and Piedmont regions. Gneiss has been deformed by heat and pressure so that the light and dark minerals form distinctive bands. Learn more here: http://ow.ly/OePE50GmZC5
#VirginiaEnergy",8/3/2023,Photos,1138,1085,20,16,1,3,12,3,7,2
658111639684940,"🎶 It's feeling like a Heatwave.🎶 We all love the summer weather, but safety comes first! Follow these tips to look out for Heat Stress. #VirginiaEnergy",8/2/2023,Photos,206,185,3,2,0,1,0,,,
658019413027496,Check it out! 🐿️ A #VirginiaEnergy Gas and Oil Inspector found this chipmunk enjoying some berries for breakfast! #Didyouknow chipmunks can gather up to 165 acorns in a single day? Now that's nuts! #WildlifeWednesday,8/2/2023,Photos,543,520,3,2,0,1,3,2,1,
657995839696520,You still have time to apply! #VirginiaEnergy is #hiring a Water Quality Specialist. Be sure to apply by August 3rd here: https://ow.ly/cjh650Pqcu6,8/2/2023,Photos,1073,988,19,11,0,8,24,7,8,9
657699683059469,"Conserve energy this summer with these tips from the U.S. Department of Energy! Turn off unused lights & electronics, use window treatments & more! Learn more here: ",8/1/2023,Links,290,264,0,0,0,0,1,,1,
657681889727915,#ThrowbackTuesday to when #VirginiaEnergy hosted the annual Virginia Geological Research Symposium. This event brought together students and #geoscientists to discuss new and old research. Learn about our Geology and Mineral Resources program here: https://ow.ly/M9V850Pq659,8/1/2023,Photos,671,608,23,22,0,1,29,21,6,2
657578953071542,"Meet Evan Tong, an Intern with our State Energy team in Richmond and hear why he likes working at #VirginiaEnergy.",8/1/2023,Videos,364,312,5,4,0,1,4,,4,
657488766413894,For more information: https://townhall.virginia.gov/l/ViewMeeting.cfm?MeetingID=38360 #PublicNotice #VirginiaEnergy,8/1/2023,Photos,699,639,6,2,2,2,17,2,10,5
657175263111911,Curious how #solarpower works? Learn more here: https://www.energy.virginia.gov/renewable-energy/SolarPower.shtml #VirginiaEnergy,7/31/2023,Photos,344,308,2,2,0,0,3,,3,
657157003113737,"It's #MappingMonday! Let's look at a #geology #map of the South Anna quadrangle in Louisa and Goochland counties, #Virginia. This map includes numerous faults and folds in the Piedmont geologic area. Check it out and download for free here: https://ow.ly/kWUU50Ppgoh #VirginiaEnergy",7/31/2023,Photos,1123,1066,23,19,0,4,12,8,3,1
657108996451871,#DidYouKnow the Spearhead ATV trails are located on reclaimed surface coal mines throughout Southwest Virginia? Learn more: http://ow.ly/ax1j50wzwX9  #VirginiaEnergy,7/31/2023,Photos,1139,1071,17,13,0,4,12,7,3,2
657049113124526,Join #VirginiaEnergy's Sidney Crabtree as he tells you about proper harness safety. #MineSafetyMinute #HarnessSafety,7/31/2023,Videos,1311,1273,4,3,1,0,14,,13,
656526479843456,#VirginiaEnergy is #hiring an Applied Geology Section Manager! Be sure to apply by August 10th here: https://ow.ly/oCxo50PmUMI,7/30/2023,Photos,719,647,8,5,0,3,14,4,3,7
